,ID,R,R_SD,G,G_SD,B,B_SD
102,ftlb1-ssid07,176.89,29.02,129.31,20.78,94.77,13.33
103,ftlb1-ssid08,183.96,28.47,136.14,22.55,100.99,18.95
104,ftlb1-ssid09,171.19,26.67,126.91,20.37,96.14,15.6
105,ftlb1-ssid10-2,160.06,25.77,117.84,18.96,83.21,13.7
106,ftlb1-ssid11,150.87,29.84,111.42,22.53,82.57,15.72
107,ftlb1-ssid12,175.48,33.71,128,28.02,96.1,22.68
108,ftlb1-ssid14,190.28,24.41,143.84,18.89,108.84,14.3
109,ftlb1-ssid15,172.21,31.06,124.96,23.77,91.05,15.93
110,ftlb1-ssid16,166.44,27.99,116.56,19.46,80.73,15.74
111,FTLB2-SID10-Trial1P6120508,172.64,30.97,128.32,25.67,96.68,20
112,ftlb2-ssid01,183.97,31.09,140.91,24.3,112.59,19.34
113,ftlb2-ssid02,207.03,26.77,156.62,23.12,115.47,18.8
114,ftlb2-ssid03,172.17,32.02,131.33,25.65,100.43,19.68
115,ftlb2-ssid04,182.06,35.14,133.85,29.28,104.28,22.52
116,ftlb2-ssid05,190.39,30.63,144.28,25.13,116.88,21.79
117,ftlb2-ssid06,179.38,29.46,134.63,24.56,98.66,18.22
118,ftlb2-ssid07,173.08,32.27,124.44,26.73,93,19.65
119,ftlb2-ssid08,159.58,29.62,117.45,25.08,89.7,22.43
120,ftlb2-ssid09-2,150.95,27.45,110.79,22.23,82.04,16.62
121,ftlb2-ssid11,153.05,24.79,113.06,19.48,87.38,16.6
122,ftlb2-ssid12,162.24,30.91,113.05,23.77,82.59,18.49
123,ftlb2-ssid13,169.71,34.67,121.45,27.45,88.91,20.66
124,ftlb2-ssid14,174.16,27.99,126.74,20.43,86.74,13.08
125,ftlb2-ssid15,192.54,39.52,136.64,31.4,90.43,19.58
126,ftlb2-ssid16,203.88,32.43,156.31,28.8,119.79,23.87
127,ftlb2-ssid17,170.99,38.56,132.64,30.77,103.98,22.86
128,ftlb2-ssid18,175.01,34.27,129.79,27.94,101.42,20.66
129,gra-sid01,191.5,28.28,145.51,21.84,111.76,15.67
130,GRA-sid03-2,202.9,27.63,142.87,21.99,94.88,14.25
131,GRA-sid05,204.75,29.1,152.98,25.31,104.14,18.68
132,GRA-sid06-2,198.83,28.7,150.35,24.39,106.6,18.68
133,GRA-sid07,201.67,24.19,150.09,21.18,103.76,21.03
134,GRA-sid08,193.93,41.3,150.78,36.67,115.04,31.2
135,GRA-sid09,209.81,36.76,165.5,35.96,121.68,30.05
136,GRA-sid11,196.34,31.63,144.25,26.44,95.04,18.72
137,GRA-sid14-tank5,201.01,32.3,145.93,27.56,96.57,20.21
138,gra-sid14,208.96,23.33,154.17,19.97,114.59,15.55
139,GRA-sid15,218.26,31.54,172.58,29.27,126.14,25.11
140,GRA-sid16,193.61,33.88,146.86,29.29,104.7,21.48
141,GRA-sid18,196.8,33.35,152.54,29.4,113.5,24
142,GRA-sid19,183.97,38.93,135.82,33.48,96.47,25.56
143,GRA-sid20,218.09,25.5,163.95,22.25,115.38,18.29
144,GRA-sid21,200.01,35.88,164.64,34.17,122.5,28.29
145,gra-sid22,212.4,28.3,157.91,23.19,118.5,16.52
146,GRA-sid23,179.11,34.08,130.35,29.28,90.13,22.45
147,GRA-sid24,187.29,36.1,139.8,29.78,105.2,21.88
148,GRA-sid25,197.48,27.52,152.76,24.71,111.02,23.47
149,GRA-sid26,199.95,25.64,148.89,23.15,104.43,21.47
150,gra-sid27,200.99,25.97,150.76,23.39,107.21,20.95
151,GRA-sid28,205.58,33.74,161.18,31.25,119.4,26.21
152,GRA-sid30,196.81,30.16,152.05,26,108.09,20.68
153,GRA-sid31,180.27,28.86,136.05,23.6,101.7,19.79
154,gra-sid32,193.58,26.85,144.1,22.34,102.2,17.58
155,GRA-sid33,195.33,36.37,145.32,31.53,98.97,24.2
156,gra-sid35,206.76,27.07,154.56,23.43,107.62,16.1
157,HB-sid01,204.68,29.35,156.49,25.36,112.47,18.16
158,HB-sid02,202.11,30.66,155.1,29.04,117.61,23.62
159,HB-sid04,201.66,30.62,157.15,27.79,115.89,21.43
160,HB-sid05-2,197.47,31.34,146.75,29.42,103.79,27.4
161,HB-sid07,233.87,24.97,189.96,26.51,144.48,26.88
162,HB-sid08,221.22,26.58,175.89,27.11,137.07,25.69
163,HB-sid11,200.57,36.32,151.79,32.32,111.99,28
164,HB-sid12,188.52,40.44,139.46,35.55,98.31,27.65
165,HB-sid16,201.85,29.67,148.67,25.21,103.69,18.91
166,HB-sid19,206.87,34.91,159.42,30.72,112.55,23.34
167,HB-sid20,199.86,31.85,158.5,28.46,120.13,24.19
168,HB-sid23,216.33,32.4,172.44,32.29,131.02,28.55
